Número,Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Equipo
25,Raúl León,Defensas,33,33,2.0,0.0,6.0,27,-,49K,50,1,Cala Pozuelo
23,Álvaro,Defensas,27,24,0.0,0.0,9.0,28,-,42K,48,1,Cala Pozuelo
21,Ivo Carosini,Defensas,26,19,0.0,0.0,10.0,33,181,20K,45,1,Cala Pozuelo
24,Heras,Defensas,24,11,0.0,0.0,1.0,23,-,38K,47,1,Cala Pozuelo
4,Dani Pascual,Defensas,24,21,5.0,0.0,5.0,23,-,25K,45,1,Cala Pozuelo
14,A. Nyada,Defensas,24,17,0.0,0.0,4.0,-,-,5K,40,1,Cala Pozuelo
3,A. Herrero,Defensas,25,20,4.0,0.0,6.0,39,181,1K,44,1,Cala Pozuelo
7,Gonzalo Camello,Defensas,11,6,2.0,0.0,1.0,24,-,13K,40,1,Cala Pozuelo
2,M. Barajas,Defensas,16,6,0.0,0.0,0.0,-,-,8K,40,1,Cala Pozuelo
15,Jesus Gonzalez,Defensas,9,4,1.0,0.0,2.0,31,184,215K,55,1,Cala Pozuelo
20,F. Garcia,Centrocampistas,34,22,9.0,0.0,4.0,-,-,17K,47,1,Cala Pozuelo
10,Merchán,Centrocampistas,22,21,1.0,0.0,7.0,35,173,8K,44,1,Cala Pozuelo
8,Juarez,Centrocampistas,13,10,0.0,0.0,3.0,33,-,12K,46,1,Cala Pozuelo
22,Herranz,Centrocampistas,15,5,1.0,0.0,2.0,31,176,16K,44,1,Cala Pozuelo
6,M. Ogawa,Centrocampistas,31,26,2.0,0.0,8.0,22,-,12K,39,1,Cala Pozuelo
5,Édgar,Centrocampistas,14,11,1.0,0.0,2.0,-,-,5K,39,1,Cala Pozuelo
19,Chami,Centrocampistas,14,7,1.0,0.0,1.0,-,-,11K,42,1,Cala Pozuelo
16,Izán Redondo,Centrocampistas,30,20,3.0,0.0,7.0,20,-,5K,39,1,Cala Pozuelo
9,Raul Uche,Delanteros,29,22,6.0,0.0,4.0,27,180,28K,45,1,Cala Pozuelo
11,G. Bernaldo,Delanteros,17,16,0.0,0.0,5.0,29,-,22K,45,1,Cala Pozuelo
18,Álvaro Batan,Delanteros,15,9,0.0,0.0,3.0,20,-,17K,40,1,Cala Pozuelo
17,N. Hordijk,Delanteros,11,1,0.0,0.0,3.0,20,-,3K,37,1,Cala Pozuelo
12,J. Casado,Delanteros,19,6,2.0,0.0,4.0,21,183,1K,27,1,Cala Pozuelo
