Nombre,Posición,Partidos_Jugados,Partidos_Titular,Goles,Asistencias,Tarjetas_Amarillas,Edad,Altura_cm,Valor_Mercado,Rating,Temporada,Goles_Recibidos,Paradas,Equipo
R. Rodriguez,Porteros,4,4,4.0,0.0,1.0,25,-,29K,44,1,4.0,1.0,Galapagar
Pascu,Porteros,26,25,33.0,0.0,1.0,29,-,18K,43,3,59.0,5.0,Galapagar
F. De Borja,Porteros,0,0,0.0,0.0,0.0,-,-,1K,39,2,0.0,0.0,Galapagar
G. Alvarez,Defensas,25,22,0.0,0.0,6.0,26,-,50K,51,3,7.0,17.0,Galapagar
Greci,Defensas,14,14,3.0,0.0,6.0,30,-,19K,43,4,4.0,34.0,Galapagar
S. Pliego,Defensas,22,20,1.0,0.0,6.0,25,-,31K,46,4,4.0,25.0,Galapagar
Ruben Dario,Defensas,20,12,0.0,0.0,2.0,31,180,35K,49,3,3.0,11.0,Galapagar
A. Boveda,Defensas,26,22,0.0,0.0,12.0,24,-,21K,42,1,0.0,13.0,Galapagar
Javi Gordo,Defensas,23,20,0.0,0.0,1.0,20,-,12K,42,1,0.0,1.0,Galapagar
Jorge,Defensas,9,7,0.0,0.0,5.0,26,-,68K,47,1,0.0,5.0,Galapagar
Carlos Daniel,Defensas,21,12,0.0,0.0,3.0,25,-,27K,45,4,3.0,17.0,Galapagar
J. Saenz,Defensas,1,0,0.0,0.0,0.0,-,-,1K,27,1,0.0,0.0,Galapagar
Bolos,Defensas,0,0,0.0,0.0,0.0,-,-,0,0,1,0.0,0.0,Galapagar
More,Centrocampistas,34,33,3.0,0.0,4.0,25,165,47K,49,1,3.0,4.0,Galapagar
A. Figueroa,Centrocampistas,31,24,7.0,0.0,3.0,25,174,31K,45,1,7.0,3.0,Galapagar
M. Gil,Centrocampistas,32,20,10.0,0.0,6.0,35,-,12K,46,4,23.0,20.0,Galapagar
J. Sanchez,Centrocampistas,32,22,1.0,0.0,7.0,24,-,30K,44,1,1.0,7.0,Galapagar
J. De La Torre,Centrocampistas,29,23,0.0,0.0,5.0,25,-,21K,42,4,0.0,11.0,Galapagar
Javi Redondo,Centrocampistas,26,13,2.0,0.0,12.0,25,171,23K,43,2,6.0,21.0,Galapagar
M. Serrano,Centrocampistas,19,12,1.0,0.0,3.0,23,-,13K,38,4,3.0,10.0,Galapagar
Miguelín,Centrocampistas,22,3,1.0,0.0,2.0,22,174,11K,36,2,1.0,3.0,Galapagar
D. Carrasco,Centrocampistas,1,0,0.0,0.0,0.0,-,-,1K,32,1,0.0,0.0,Galapagar
P. Buceta,Delanteros,30,26,5.0,0.0,5.0,26,-,22K,43,4,21.0,20.0,Galapagar
Marcos Reguilón,Delanteros,23,11,4.0,0.0,1.0,21,-,57K,45,1,4.0,1.0,Galapagar
Gonzaga,Delanteros,26,10,3.0,0.0,7.0,-,-,4K,34,3,4.0,10.0,Galapagar
Vega,Delanteros,3,0,0.0,0.0,0.0,-,-,1K,35,1,0.0,0.0,Galapagar
J. Martinez,Delanteros,0,0,0.0,0.0,0.0,-,-,0,0,1,0.0,0.0,Galapagar
