Porteros,Porteros.1,Porteros.2,Unnamed: 3,PJ,PT,Unnamed: 6,Unnamed: 7,Unnamed: 8,Edad,cm,€,rating,Temp.,PJ.1,Unnamed: 15,Unnamed: 16
13,,Juanpe,,25,25,34.0,0.0,4.0,24,188,57K,44,1,25,34.0,5.0
25,,Adrián Molina,,11,9,17.0,0.0,1.0,19,188,15K,45,2,11,17.0,1.0
1,,Benedi,,0,0,0.0,0.0,0.0,22,185,2K,32,4,5,8.0,0.0
Defensas,Defensas,Defensas,,PJ,PT,,,,Edad,cm,€,rating,Temp.,PJ,,
2,,Marco De Las Sías,,27,27,5.0,0.0,13.0,19,180,117K,44,1,27,5.0,13.0
3,,Diego Robles,,32,32,1.0,0.0,4.0,21,-,43K,46,1,32,1.0,4.0
5,,Víctor Revuelto,,29,27,0.0,0.0,7.0,20,-,6K,43,1,29,0.0,7.0
32,,Sergio Lozano,,29,26,0.0,0.0,13.0,19,175,12K,42,2,31,0.0,13.0
32,,Santi Silva,,1,1,0.0,0.0,0.0,19,173,7K,36,1,1,0.0,0.0
4,,M. Guzmán,,21,14,0.0,0.0,10.0,23,-,21K,44,2,39,1.0,16.0
22,,David Mico,,3,1,0.0,0.0,0.0,20,-,5K,39,1,3,0.0,0.0
Centrocampistas,Centrocampistas,Centrocampistas,,PJ,PT,,,,Edad,cm,€,rating,Temp.,PJ,,
7,,Juanchi,,32,32,5.0,0.0,6.0,24,-,44K,46,1,32,5.0,6.0
10,,Juan Ybarra,,29,29,10.0,0.0,6.0,21,-,39K,44,2,63,11.0,9.0
14,,P. Prieto,,22,14,1.0,0.0,3.0,22,-,32K,44,1,22,1.0,3.0
6,,Aitor González,,31,31,0.0,0.0,6.0,24,177,26K,41,3,42,0.0,8.0
30,,Samu Becerra,,31,22,5.0,0.0,4.0,19,-,10K,37,2,46,5.0,7.0
17,,Gonzalo García,,8,1,0.0,0.0,0.0,20,-,10K,43,1,8,0.0,0.0
28,,G. Gutiérrez,,1,0,0.0,0.0,0.0,19,-,3K,34,1,1,0.0,0.0
20,,S. Asensio,,20,8,1.0,0.0,4.0,20,-,7K,41,1,20,1.0,4.0
21,,H. Navarro,,21,2,2.0,0.0,3.0,22,-,30K,43,1,21,2.0,3.0
8,,Expósito,,8,1,0.0,0.0,4.0,23,182,14K,39,3,44,0.0,16.0
16,,A. Ruiz,,0,0,0.0,0.0,0.0,-,-,1K,26,1,0,0.0,0.0
29,,W. Glogowski,,1,0,0.0,0.0,0.0,-,177,0,0,1,1,0.0,0.0
Delanteros,Delanteros,Delanteros,,PJ,PT,,,,Edad,cm,€,rating,Temp.,PJ,,
11,,E. Eto'o,,31,31,24.0,0.0,4.0,22,191,149K,45,1,31,24.0,4.0
19,,Bala,,29,22,5.0,0.0,1.0,22,180,38K,43,2,31,5.0,1.0
27,,Iván Alonso,,9,1,3.0,0.0,1.0,19,-,8K,39,1,9,3.0,1.0
9,,Sergio Alonso,,20,3,6.0,0.0,0.0,21,180,19K,41,2,44,12.0,1.0
18,,Cesar Valero,,8,2,0.0,0.0,1.0,20,-,4K,36,1,8,0.0,1.0
23,,Pablo Montero,,10,3,0.0,0.0,2.0,23,168,42K,44,1,10,0.0,2.0
24,,Iván Iñigo,,25,7,1.0,0.0,2.0,19,-,3K,31,1,25,1.0,2.0
12,,R. Veloz,,1,0,0.0,0.0,0.0,-,-,0,0,1,1,0.0,0.0
